Player,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,Cluster
Aron Baynes\baynear01,81,1485,5.1,10.8,0.471,0.1,0.5,0.143,5.0,10.3,0.487,1.4,1.9,0.756,3.2,7.4,2.3,0.5,1.2,1.9,11.7,2
Austin Rivers\riverau01,61,2057,6.0,14.1,0.424,2.4,6.3,0.378,3.6,7.8,0.461,1.8,2.8,0.642,0.5,2.1,4.2,1.3,0.3,1.9,16.1,0
Avery Bradley\bradlav01,92,2866,6.266666666666667,14.633333333333333,0.43199999999999994,1.4000000000000001,4.2,0.287,4.866666666666666,10.433333333333332,0.4673333333333334,1.2333333333333334,1.5999999999999999,0.8436666666666667,0.6,2.8666666666666667,2.4,1.2333333333333334,0.20000000000000004,2.2666666666666666,15.200000000000001,1
Bam Adebayo\adebaba01,69,1368,4.6,8.9,0.512,0.0,0.2,0.0,4.6,8.8,0.523,3.4,4.7,0.721,3.1,6.9,2.7,0.8,1.1,1.7,12.6,2
Ben McLemore\mclembe01,56,1091,5.2,12.3,0.421,1.8,5.2,0.346,3.4,7.1,0.477,1.7,2.1,0.828,1.1,3.5,1.7,1.3,0.5,2.0,13.9,2
Ben Simmons\simmobe01,81,2732,7.2,13.2,0.545,0.0,0.1,0.0,7.2,13.0,0.551,2.5,4.5,0.56,1.9,6.8,8.7,1.8,0.9,3.7,16.9,0
Bismack Biyombo\biyombi01,82,1495,4.4,8.5,0.52,0.0,0.0,0.0,4.4,8.5,0.521,2.5,3.8,0.65,3.5,7.8,1.6,0.5,2.3,2.0,11.3,2
Blake Griffin\griffbl01,116,3940,7.966666666666666,18.2,0.43733333333333335,2.0,5.866666666666667,0.345,5.8999999999999995,12.333333333333334,0.48100000000000004,4.633333333333334,5.8999999999999995,0.7846666666666667,1.3333333333333333,6.433333333333334,6.166666666666667,0.7000000000000001,0.3333333333333333,3.0,22.599999999999998,1
Bobby Portis\portibo01,73,1643,8.4,17.8,0.471,1.8,4.9,0.359,6.6,12.9,0.514,2.6,3.4,0.769,3.5,7.4,2.7,1.1,0.5,2.3,21.1,2
Bogdan Bogdanovic\bogdabo01,78,2175,5.7,12.8,0.446,2.1,5.4,0.392,3.6,7.3,0.485,1.7,2.0,0.84,0.5,3.2,4.3,1.2,0.3,2.1,15.2,0
Bojan Bogdanovic\bogdabo02,80,2464,5.9,12.4,0.474,2.3,5.6,0.402,3.6,6.8,0.534,2.6,3.0,0.868,0.4,3.5,1.7,0.8,0.1,1.5,16.7,0
Bradley Beal\bealbr01,82,2977,8.3,17.9,0.46,2.4,6.4,0.375,5.9,11.5,0.507,3.5,4.5,0.791,0.7,3.7,4.5,1.2,0.4,2.6,22.5,1
Brandon Ingram\ingrabr01,59,1975,6.5,13.9,0.47,0.7,1.9,0.39,5.8,12.0,0.483,3.5,5.1,0.681,1.0,4.7,4.2,0.8,0.8,2.7,17.3,0
Brook Lopez\lopezbr01,74,1735,7.7,16.5,0.465,2.3,6.7,0.345,5.3,9.7,0.549,2.3,3.3,0.703,1.5,4.6,2.6,0.6,2.0,2.0,19.9,2
Bryn Forbes\forbebr01,80,1517,5.0,11.8,0.421,2.1,5.4,0.39,2.8,6.4,0.446,1.1,1.7,0.667,0.3,2.3,1.9,0.7,0.0,0.9,13.2,2
Buddy Hield\hieldbu01,80,2024,7.4,16.6,0.446,3.1,7.3,0.431,4.3,9.3,0.457,1.3,1.4,0.877,1.0,4.5,2.8,1.5,0.4,2.2,19.2,0
C.J. Miles\milescj01,70,1337,6.1,16.1,0.379,4.4,12.2,0.361,1.7,3.9,0.434,2.2,2.6,0.835,0.5,3.6,1.5,1.0,0.6,1.1,18.8,2
CJ McCollum\mccolcj01,81,2923,8.2,18.5,0.443,2.3,5.9,0.397,5.9,12.7,0.465,2.6,3.1,0.836,0.7,3.3,3.3,0.9,0.4,1.9,21.3,1
Caris LeVert\leverca01,71,1864,6.2,14.2,0.435,1.6,4.7,0.347,4.5,9.5,0.48,2.6,3.6,0.711,1.0,4.0,5.8,1.6,0.4,3.0,16.6,0
Carmelo Anthony\anthoca01,78,2501,6.8,16.8,0.404,2.4,6.8,0.357,4.4,10.0,0.437,2.1,2.8,0.767,1.0,5.6,1.5,0.7,0.7,1.4,18.2,0
